Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,85+ years,85+,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Larynx, unspecified - Malignant neoplasms",C32.9,45-54 years,45-54,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Larynx, unspecified - Malignant neoplasms",C32.9,65-74 years,65-74,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,Female,F,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,Male,M,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,Female,F,77,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,Male,M,149,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Female,F,144,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Male,M,281,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Female,F,184,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,372,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Female,F,121,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Male,M,239,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,85+ years,85+,Female,F,31,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,85+ years,85+,Male,M,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,Female,F,73,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,Female,F,131,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,Female,F,112,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,65-74 years,65-74,Female,F,93,Not Applicable,Not Applicable
